id,rating,release_date_cert,imdb_id,title,budget,release_date,revenue,runtime,original_language,original_title,vote_average,vote_count,poster_path,genres_id,genres_name,spoken_languages_name,production_companies_id,production_companies_name,production_companies_origin_country
116977,PG,2013-05-07 00:00:00+00:00,tt0249516,Foodfight!,65000000,2012-06-15,73706,87.0,en,Foodfight!,1.7,76,/R1zn75Yz4wpdd85byqhP7mT6No.jpg,"[16, 28, 35, 10751]","['Animation', 'Action', 'Comedy', 'Family']",['English'],"[4174, 1632, 133802, 133803, 133804]","['Threshold Entertainment', 'Lionsgate', 'C47 Productions', 'Natural Image', 'StoryArk Media']","['', 'US', '', '', '']"
308024,R,2015-01-23 00:00:00+00:00,tt3844362,The Overnight,0,2015-06-19,1100000,80.0,en,The Overnight,6.0,222,/65L466UR3h1jw8mTJhGmMZlj0eT.jpg,"[9648, 35]","['Mystery', 'Comedy']","['English', 'Français']","[1974, 63631]","['Duplass Brothers Productions', ""Gettin' Rad Productions""]","['US', '']"
83770,R,2012-12-21 00:00:00+00:00,tt0337692,On the Road,25000000,2012-05-22,8784318,137.0,en,On the Road,5.6,600,/k7LQteD02p3VHixbS6NXHkFdFwT.jpg,"[12, 18]","['Adventure', 'Drama']","['English', 'Français']","[8372, 70, 79077, 614, 83, 10611, 346, 21914, 12467, 6274, 6705, 104, 7131]","['SPAD Films', 'American Zoetrope', 'Jerry Leider Company', 'Vanguard Films', 'France 2 Cinéma', 'Ciné+', 'Videofilmes', 'K&S Films', 'Nomadic Pictures', 'MK2 Productions', 'Film4 Productions', 'Canal+', 'France Télévisions']","['', 'US', '', '', 'FR', 'FR', 'BR', 'AR', 'CA', 'FR', 'GB', 'FR', 'FR']"
116745,PG,2013-12-25 00:00:00+00:00,tt0359950,The Secret Life of Walter Mitty,90000000,2013-12-18,188133322,114.0,en,The Secret Life of Walter Mitty,7.1,5561,/tY6ypjKOOtujhxiSwTmvA4OZ5IE.jpg,"[12, 35, 18, 14]","['Adventure', 'Comedy', 'Drama', 'Fantasy']",['English'],"[290, 22213, 9118, 12, 10893, 37336, 25, 2932]","['Ingenious Media', 'TSG Entertainment', 'Samuel Goldwyn Films', 'New Line Cinema', 'Big Screen Productions', 'Down Productions', '20th Century Fox', 'Red Hour']","['GB', 'US', 'US', 'US', '', '', 'US', 'US']"
169917,R,2014-09-19 00:00:00+00:00,tt0365907,A Walk Among the Tombstones,28000000,2014-09-18,53181600,113.0,en,A Walk Among the Tombstones,6.3,1926,/bQTHTZezSudf27mMQtedHf1XpgO.jpg,"[80, 18, 9648, 53]","['Crime', 'Drama', 'Mystery', 'Thriller']",['English'],"[39043, 216, 40106, 11448, 10246, 8532, 40107, 215]","['Traveling Picture Show Company (TPSC)', 'Jersey Films', 'Free State Pictures', 'Exclusive Media', 'Cross Creek Pictures', '1984 Private Defense Contractors', 'Da Vinci Media Ventures', 'Double Feature Films']","['', '', '', 'US', 'US', '', '', '']"
135397,PG-13,2015-06-12 00:00:00+00:00,tt0369610,Jurassic World,150000000,2015-06-06,1671713208,124.0,en,Jurassic World,6.6,15629,/2c0ajTi8nvrsYl5Oi1lVi6F0kd2.jpg,"[28, 12, 878, 53]","['Action', 'Adventure', 'Science Fiction', 'Thriller']",['English'],"[3341, 56, 923, 33, 1778, 862]","['Fuji Television Network', 'Amblin Entertainment', 'Legendary Entertainment', 'Universal Pictures', 'Dentsu', 'The Kennedy/Marshall Company']","['JP', 'US', 'US', 'US', 'JP', 'US']"
23514,R,2011-10-27 00:00:00+00:00,tt0376136,The Rum Diary,45000000,2011-10-13,24000000,120.0,en,The Rum Diary,5.8,752,/8xmzSn5Qd3lX9iqrkoY27wMRE3O.jpg,"[18, 35]","['Drama', 'Comedy']","['Deutsch', 'Español', 'English']","[816, 3281, 2691]","['FilmEngine', 'GK Films', 'Infinitum Nihil']","['', 'GB', 'US']"
76489,PG,2012-04-13 00:00:00+00:00,tt0383010,The Three Stooges,30000000,2012-04-13,54819301,92.0,en,The Three Stooges,5.2,273,/8W1BEP1cRtdgqul9groolv1fgoT.jpg,[35],['Comedy'],['English'],"[8890, 25, 1156, 91002, 444]","['Wessler Entertainment', '20th Century Fox', 'Conundrum Entertainment', 'C3 Entertainment, Inc.', 'Dune Entertainment']","['', 'US', '', '', 'US']"
38757,PG,2010-11-24 00:00:00+00:00,tt0398286,Tangled,260000000,2010-11-24,591794936,100.0,en,Tangled,7.6,7642,/1uPxRO0iYwW02lzwatRhkugWBYs.jpg,"[16, 10751]","['Animation', 'Family']",['English'],"[6125, 2]","['Walt Disney Animation Studios', 'Walt Disney Pictures']","['US', 'US']"
49529,PG-13,2012-03-09 00:00:00+00:00,tt0401729,John Carter,250000000,2012-03-07,284139100,132.0,en,John Carter,6.2,3849,/rRnc3XUGFLeQScHiMmdqqsyPpT9.jpg,"[28, 12, 878]","['Action', 'Adventure', 'Science Fiction']",['English'],[2],['Walt Disney Pictures'],['US']
38778,PG-13,2010-07-30 00:00:00+00:00,tt0427152,Dinner for Schmucks,69000000,2010-07-30,86387857,114.0,en,Dinner for Schmucks,5.6,1132,/djwkUFhkM81gIsI9ZZ7I6ajZAKY.jpg,[35],['Comedy'],['English'],"[2242, 4, 158, 6733, 11084, 7]","['Everyman Pictures', 'Paramount', 'Spyglass Entertainment', 'Reliance Big Entertainment', 'Parkes/MacDonald Productions', 'DreamWorks Pictures']","['US', 'US', 'US', '', '', 'US']"
34544,PG-13,2010-06-11 00:00:00+00:00,tt0429493,The A-Team,110000000,2010-06-09,177238796,119.0,en,The A-Team,6.3,3171,/bkAWEx5g5tvRPjtDQyvIZ7LRxQm.jpg,"[53, 28, 12, 35, 80]","['Thriller', 'Action', 'Adventure', 'Comedy', 'Crime']","['Deutsch', 'English', 'Español', 'Français', 'Kiswahili']","[10908, 444, 5585, 2528, 1645, 10893, 25, 290]","['Phoenix Film Partners', 'Dune Entertainment', 'Stephen J. Cannell Productions', 'Top Cow Productions', 'Scott Free Productions', 'Big Screen Productions', '20th Century Fox', 'Ingenious Media']","['', 'US', '', 'US', 'GB', '', 'US', 'GB']"
77883,PG-13,2012-08-31 00:00:00+00:00,tt0431021,The Possession,14000000,2012-08-30,85446075,92.0,en,The Possession,5.9,1076,/loZYdcmgvnonHtH0XH0RI7rm8iA.jpg,"[27, 53]","['Horror', 'Thriller']",['English'],"[768, 22637]","['Ghost House Pictures', 'North Box Productions']","['US', '']"
39254,PG-13,2011-10-06 00:00:00+00:00,tt0433035,Real Steel,110000000,2011-09-28,299268508,127.0,en,Real Steel,6.8,5368,/4GIeI5K5YdDUkR3mNQBoScpSFEf.jpg,"[28, 878, 18]","['Action', 'Science Fiction', 'Drama']",['English'],"[76069, 2575, 7294, 9195, 11395, 12087, 76067, 76043, 7]","['Wardour Street Pictures', '21 Laps Entertainment', 'Reliance Entertainment', 'Touchstone Pictures', 'ImageMovers', 'Angry Films', 'Kontsept Film Company', 'Revolution Sun Studios', 'DreamWorks Pictures']","['', 'US', 'IN', 'US', 'US', '', '', 'US', 'US']"
