Mouse_ID,Group,Day,Licks,Phase,Day_of_Phase
1,Control,BL1,665,BL,1
2,Control,BL1,859,BL,1
3,Control,BL1,589,BL,1
4,Control,BL1,939,BL,1
5,Experimental,BL1,710,BL,1
6,Experimental,BL1,564,BL,1
7,Experimental,BL1,722,BL,1
8,Experimental,BL1,497,BL,1
9,Experimental,BL1,741,BL,1
10,Experimental,BL1,953,BL,1
11,Experimental,BL1,753,BL,1
12,Control,BL1,494,BL,1
13,Control,BL1,587,BL,1
14,Control,BL1,917,BL,1
15,Control,BL1,440,BL,1
16,Experimental,BL1,715,BL,1
17,Experimental,BL1,184,BL,1
18,Experimental,BL1,934,BL,1
19,Experimental,BL1,578,BL,1
20,Experimental,BL1,400,BL,1
21,Experimental,BL1,448,BL,1
22,Control,BL1,270,BL,1
1,Control,BL2,863,BL,2
2,Control,BL2,849,BL,2
3,Control,BL2,507,BL,2
4,Control,BL2,909,BL,2
5,Experimental,BL2,505,BL,2
6,Experimental,BL2,808,BL,2
7,Experimental,BL2,732,BL,2
8,Experimental,BL2,649,BL,2
9,Experimental,BL2,668,BL,2
10,Experimental,BL2,988,BL,2
11,Experimental,BL2,613,BL,2
12,Control,BL2,602,BL,2
13,Control,BL2,630,BL,2
14,Control,BL2,680,BL,2
15,Control,BL2,767,BL,2
16,Experimental,BL2,469,BL,2
17,Experimental,BL2,250,BL,2
18,Experimental,BL2,1237,BL,2
19,Experimental,BL2,548,BL,2
20,Experimental,BL2,193,BL,2
21,Experimental,BL2,221,BL,2
22,Control,BL2,132,BL,2
1,Control,BL3,631,BL,3
2,Control,BL3,685,BL,3
3,Control,BL3,635,BL,3
4,Control,BL3,850,BL,3
5,Experimental,BL3,494,BL,3
6,Experimental,BL3,589,BL,3
7,Experimental,BL3,783,BL,3
8,Experimental,BL3,586,BL,3
9,Experimental,BL3,778,BL,3
10,Experimental,BL3,579,BL,3
11,Experimental,BL3,573,BL,3
12,Control,BL3,570,BL,3
13,Control,BL3,564,BL,3
14,Control,BL3,737,BL,3
15,Control,BL3,642,BL,3
16,Experimental,BL3,392,BL,3
17,Experimental,BL3,373,BL,3
18,Experimental,BL3,354,BL,3
19,Experimental,BL3,556,BL,3
20,Experimental,BL3,188,BL,3
21,Experimental,BL3,505,BL,3
22,Control,BL3,250,BL,3
1,Control,BL4,629,BL,4
2,Control,BL4,731,BL,4
3,Control,BL4,902,BL,4
4,Control,BL4,756,BL,4
5,Experimental,BL4,596,BL,4
6,Experimental,BL4,596,BL,4
7,Experimental,BL4,946,BL,4
8,Experimental,BL4,506,BL,4
9,Experimental,BL4,638,BL,4
10,Experimental,BL4,706,BL,4
11,Experimental,BL4,642,BL,4
12,Control,BL4,530,BL,4
13,Control,BL4,627,BL,4
14,Control,BL4,596,BL,4
15,Control,BL4,623,BL,4
16,Experimental,BL4,333,BL,4
17,Experimental,BL4,457,BL,4
18,Experimental,BL4,705,BL,4
19,Experimental,BL4,479,BL,4
20,Experimental,BL4,350,BL,4
21,Experimental,BL4,459,BL,4
22,Control,BL4,192,BL,4
1,Control,S1,583,S,1
2,Control,S1,854,S,1
3,Control,S1,699,S,1
4,Control,S1,807,S,1
5,Experimental,S1,620,S,1
6,Experimental,S1,591,S,1
7,Experimental,S1,882,S,1
8,Experimental,S1,546,S,1
9,Experimental,S1,759,S,1
10,Experimental,S1,1106,S,1
11,Experimental,S1,820,S,1
12,Control,S1,570,S,1
13,Control,S1,572,S,1
14,Control,S1,699,S,1
15,Control,S1,532,S,1
16,Experimental,S1,492,S,1
17,Experimental,S1,505,S,1
18,Experimental,S1,646,S,1
19,Experimental,S1,533,S,1
20,Experimental,S1,232,S,1
21,Experimental,S1,483,S,1
22,Control,S1,364,S,1
1,Control,S2,801,S,2
2,Control,S2,1103,S,2
3,Control,S2,743,S,2
4,Control,S2,617,S,2
5,Experimental,S2,589,S,2
6,Experimental,S2,580,S,2
7,Experimental,S2,723,S,2
8,Experimental,S2,493,S,2
9,Experimental,S2,791,S,2
10,Experimental,S2,812,S,2
11,Experimental,S2,752,S,2
12,Control,S2,396,S,2
13,Control,S2,419,S,2
14,Control,S2,484,S,2
15,Control,S2,663,S,2
16,Experimental,S2,594,S,2
17,Experimental,S2,475,S,2
18,Experimental,S2,619,S,2
19,Experimental,S2,721,S,2
20,Experimental,S2,34,S,2
21,Experimental,S2,491,S,2
22,Control,S2,229,S,2
1,Control,S3,723,S,3
2,Control,S3,645,S,3
3,Control,S3,761,S,3
4,Control,S3,526,S,3
5,Experimental,S3,676,S,3
6,Experimental,S3,419,S,3
7,Experimental,S3,764,S,3
8,Experimental,S3,456,S,3
9,Experimental,S3,568,S,3
10,Experimental,S3,902,S,3
11,Experimental,S3,759,S,3
12,Control,S3,403,S,3
13,Control,S3,369,S,3
14,Control,S3,452,S,3
15,Control,S3,601,S,3
16,Experimental,S3,695,S,3
17,Experimental,S3,519,S,3
18,Experimental,S3,885,S,3
19,Experimental,S3,651,S,3
20,Experimental,S3,65,S,3
21,Experimental,S3,394,S,3
22,Control,S3,219,S,3
1,Control,S4,707,S,4
2,Control,S4,633,S,4
3,Control,S4,949,S,4
4,Control,S4,736,S,4
5,Experimental,S4,537,S,4
6,Experimental,S4,463,S,4
